dim,bits,algo,param,runtime,final_norm
55,34,BKZ,2.0,0.01650857925415039,45922813169.091995
55,34,BKZ,10.0,0.03745722770690918,40381778611.54928
55,34,BKZ,20.0,0.039533376693725586,40381778611.54928
50,30,LLL,0.75,0.008655309677124023,2786120267.969072
50,30,LLL,0.9,0.009463310241699219,2257874224.284568
50,30,LLL,0.99,0.01143646240234375,2139127338.3334944
50,30,BKZ,2.0,0.014842748641967773,2139127338.3334944
50,30,BKZ,10.0,0.035028696060180664,2139127338.3334944
50,30,BKZ,20.0,0.035802364349365234,2139127338.3334944
30,34,LLL,0.75,0.004960536956787109,20253759704.995937
30,34,LLL,0.9,0.0048809051513671875,20253759704.995937
30,34,LLL,0.99,0.00519871711730957,20253759704.995937
30,34,BKZ,2.0,0.007069110870361328,20253759704.995937
30,34,BKZ,10.0,0.016032934188842773,20253759704.995937
30,34,BKZ,20.0,0.014802694320678711,20253759704.995937
40,26,LLL,0.75,0.01093292236328125,172548085.69644597
40,26,LLL,0.9,0.010507345199584961,136587130.220157
40,26,LLL,0.99,0.011754274368286133,124331470.43065673
40,26,BKZ,2.0,0.014890432357788086,124331470.43065673
40,26,BKZ,10.0,0.0360410213470459,123524007.26368144
40,26,BKZ,20.0,0.038385629653930664,123524007.26368144
60,37,LLL,0.75,0.01661515235900879,415220130513.2631
60,37,LLL,0.9,0.014657735824584961,370647035519.6387
60,37,LLL,0.99,0.01774287223815918,363464774188.7886
60,37,BKZ,2.0,0.022324323654174805,363464774188.7886
60,37,BKZ,10.0,0.05102181434631348,332619650212.2092
60,37,BKZ,20.0,0.09135937690734863,332619650212.2092
50,22,LLL,0.75,0.0066699981689453125,10288176.9165148
50,22,LLL,0.9,0.0065670013427734375,9357636.866275268
50,22,LLL,0.99,0.008244991302490234,9180838.771786269
50,22,BKZ,2.0,0.010947465896606445,9180838.771786269
50,22,BKZ,10.0,0.03516960144042969,8540779.8906337
50,22,BKZ,20.0,0.04587745666503906,8540779.8906337
50,20,LLL,0.75,0.006001949310302734,2641627.210281004
50,20,LLL,0.9,0.006402492523193359,2641627.210281004
50,20,LLL,0.99,0.007077217102050781,2144368.6494241143
50,20,BKZ,2.0,0.011246919631958008,2144368.6494241143
50,20,BKZ,10.0,0.034552812576293945,2144368.6494241143
50,20,BKZ,20.0,0.04105997085571289,2144368.6494241143
40,20,LLL,0.75,0.003178119659423828,2454941.5153369745
40,20,LLL,0.9,0.0033020973205566406,2098169.675675921
40,20,LLL,0.99,0.003974199295043945,1808299.6724760528
40,20,BKZ,2.0,0.006168842315673828,1808299.6724760528
40,20,BKZ,10.0,0.009946346282958984,1808299.6724760528
40,20,BKZ,20.0,0.012913227081298828,1808299.6724760528
50,28,LLL,0.75,0.00892329216003418,557416716.3899429
50,28,LLL,0.9,0.008669614791870117,557416716.3899429
50,28,LLL,0.99,0.009422540664672852,557416716.3899429
50,28,BKZ,2.0,0.014195442199707031,557416716.3899429
50,28,BKZ,10.0,0.03208160400390625,557416716.3899429
50,28,BKZ,20.0,0.07172942161560059,557416716.3899429
35,36,LLL,0.75,0.0038194656372070312,154736633696.61694
35,36,LLL,0.9,0.0036916732788085938,130394710486.60054
35,36,LLL,0.99,0.0038824081420898438,109994382496.16417
35,36,BKZ,2.0,0.005248546600341797,109994382496.16417
35,36,BKZ,10.0,0.020725250244140625,109994382496.16417
35,36,BKZ,20.0,0.020671606063842773,109994382496.16417
55,30,LLL,0.75,0.011343717575073242,3193099832.591206
55,30,LLL,0.9,0.011587381362915039,2799221930.913959
55,30,LLL,0.99,0.012884378433227539,2445592719.145891
55,30,BKZ,2.0,0.016268491744995117,2445592719.145891
55,30,BKZ,10.0,0.03290557861328125,2433282741.239511
55,30,BKZ,20.0,0.04138493537902832,2433282741.239511
60,38,LLL,0.75,0.014604330062866211,864399254278.4203
60,38,LLL,0.9,0.014919042587280273,655087970417.6996
60,38,LLL,0.99,0.016429901123046875,622097553413.0736
60,38,BKZ,2.0,0.022109031677246094,622097553413.0736
60,38,BKZ,10.0,0.06248974800109863,622097553413.0736
60,38,BKZ,20.0,0.0533146858215332,622097553413.0736
50,21,LLL,0.75,0.005788326263427734,5428888.370547694
50,21,LLL,0.9,0.005502939224243164,3793924.0038219006
50,21,LLL,0.99,0.007041215896606445,3793924.0038219006
50,21,BKZ,2.0,0.009485721588134766,3793924.0038219006
50,21,BKZ,10.0,0.01934957504272461,3793924.0038219006
50,21,BKZ,20.0,0.022834300994873047,3793924.0038219006
40,27,LLL,0.75,0.005190372467041016,273177646.8164594
40,27,LLL,0.9,0.0053462982177734375,273177646.8164594
40,27,LLL,0.99,0.005677700042724609,259842885.72331482
40,27,BKZ,2.0,0.007587909698486328,259842885.72331482
40,27,BKZ,10.0,0.01564764976501465,243085326.9387881
40,27,BKZ,20.0,0.0259249210357666,243085326.9387881
60,30,LLL,0.75,0.014535188674926758,2794724288.971737
60,30,LLL,0.9,0.015563726425170898,2636364125.1010656
60,30,LLL,0.99,0.017832279205322266,2636364125.1010656
60,30,BKZ,2.0,0.02378392219543457,2636364125.1010656
60,30,BKZ,10.0,0.04584813117980957,2614304619.352311
60,30,BKZ,20.0,0.06234025955200195,2614304619.352311
55,35,LLL,0.75,0.011490345001220703,112322593305.92912
55,35,LLL,0.9,0.011734485626220703,92639094042.26474
55,35,LLL,0.99,0.01214456558227539,80415456459.07889
55,35,BKZ,2.0,0.017346858978271484,80415456459.07889
55,35,BKZ,10.0,0.04892849922180176,78389111525.55957
